Dex,Pokemon,Moves,Levels
11,metapod,"harden, irondefense, electroweb","1, 101, 101"
12,butterfree,"razorwind, gust, whirlwind, headbutt, tackle, takedown, doubleedge, supersonic, psybeam, hyperbeam, megadrain, solarbeam, poisonpowder, stunspore, sleeppowder, stringshot, toxic, confusion, psychic, rage, teleport, mimic, doubleteam, harden, reflect, bide, swift, dreameater, flash, psywave, rest, substitute, thief, nightmare, snore, curse, protect, gigadrain, endure, swagger, attract, sleeptalk, return, frustration, safeguard, batonpass, sweetscent, hiddenpower, raindance, sunnyday, psychup, shadowball, facade, skillswap, secretpower, silverwind, aerialace, irondefense, roost, naturalgift, tailwind, uturn, airslash, bugbuzz, energyball, gigaimpact, defog, captivate, bugbite, venoshock, ragepowder, quiverdance, round, acrobatics, strugglebug, electroweb, hurricane, drainingkiss, confide, infestation, pollenpuff","101, 28, 26, 101, 1, 101, 101, 21, 32, 101, 101, 101, 15, 16, 17, 1, 101, 1, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 40, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 47, 101, 101, 101, 101, 30, 101, 43, 40, 101, 101, 101, 36, 1, 101, 34, 46, 101, 101, 101, 101, 101, 101, 101, 101, 101"
13,weedle,"poisonsting, stringshot, bugbite","1, 1, 15"
14,kakuna,"harden","1"
15,beedrill,"swordsdance, cut, headbutt, furyattack, takedown, doubleedge, poisonsting, twineedle, pinmissile, hyperbeam, peck, megadrain, solarbeam, stringshot, toxic, agility, rage, mimic, doubleteam, harden, reflect, focusenergy, bide, swift, skullbash, flash, rest, substitute, thief, snore, curse, protect, sludgebomb, outrage, gigadrain, endure, falseswipe, swagger, furycutter, attract, sleeptalk, return, frustration, pursuit, sweetscent, hiddenpower, sunnyday, rocksmash, facade, brickbreak, endeavor, secretpower, silverwind, aerialace, roost, naturalgift, uturn, payback, assurance, toxicspikes, poisonjab, xscissor, gigaimpact, defog, captivate, bugbite, venoshock, round, acrobatics, strugglebug, drillrun, fellstinger, confide, infestation, laserfocus, brutalswing","101, 101, 101, 1, 101, 101, 1, 20, 30, 101, 1, 101, 101, 1, 101, 35, 25, 101, 101, 1, 101, 16, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 101, 101, 101, 101, 101, 101, 101, 30, 101, 101, 101, 101, 101, 101, 45, 101, 101, 101, 101, 101, 101, 101, 34, 25, 37, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 45, 101, 101, 14, 101"
16,pidgey,"razorwind, gust, wingattack, whirlwind, fly, sandattack, headbutt, tackle, takedown, doubleedge, toxic, agility, quickattack, rage, mimic, doubleteam, reflect, bide, mirrormove, swift, skyattack, rest, substitute, thief, snore, curse, protect, mudslap, detect, endure, swagger, steelwing, attract, sleeptalk, return, frustration, hiddenpower, twister, raindance, sunnyday, facade, secretpower, featherdance, aerialace, roost, naturalgift, pluck, tailwind, uturn, airslash, defog, captivate, round, workup, hurricane, confide","101, 1, 28, 19, 101, 5, 101, 1, 101, 101, 101, 36, 12, 101, 101, 101, 101, 101, 44, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 21, 101, 101, 101, 101, 31, 101, 37, 101, 101, 41, 101, 49, 101, 101, 101, 101, 53, 101"
17,pidgeotto,"razorwind, gust, wingattack, whirlwind, fly, sandattack, headbutt, tackle, takedown, doubleedge, toxic, agility, quickattack, rage, mimic, doubleteam, reflect, bide, mirrormove, swift, skyattack, rest, substitute, thief, snore, curse, protect, mudslap, detect, endure, swagger, steelwing, attract, sleeptalk, return, frustration, hiddenpower, twister, raindance, sunnyday, facade, secretpower, featherdance, aerialace, roost, naturalgift, pluck, tailwind, uturn, airslash, defog, captivate, round, workup, hurricane, confide","101, 1, 31, 21, 101, 1, 101, 1, 101, 101, 101, 40, 12, 101, 101, 101, 101, 101, 49, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 22, 101, 101, 101, 101, 34, 101, 42, 101, 101, 47, 101, 57, 101, 101, 101, 101, 62, 101"
18,pidgeot,"razorwind, gust, wingattack, whirlwind, fly, sandattack, headbutt, tackle, takedown, doubleedge, hyperbeam, toxic, agility, quickattack, rage, mimic, doubleteam, reflect, bide, mirrormove, swift, skyattack, rest, substitute, thief, snore, curse, protect, mudslap, detect, endure, swagger, steelwing, attract, sleeptalk, return, frustration, hiddenpower, twister, raindance, sunnyday, heatwave, facade, secretpower, featherdance, aerialace, roost, naturalgift, pluck, tailwind, uturn, airslash, gigaimpact, defog, captivate, round, workup, hurricane, confide","101, 1, 31, 21, 101, 1, 101, 1, 101, 101, 101, 101, 44, 1, 101, 101, 101, 101, 101, 54, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 22, 101, 101, 1, 101, 101, 34, 101, 44, 101, 101, 50, 101, 62, 101, 101, 101, 101, 101, 68, 101"
19,rattata,"cut, headbutt, tackle, bodyslam, takedown, doubleedge, tailwhip, bite, watergun, icebeam, blizzard, bubblebeam, thunderbolt, thunderwave, thunder, dig, toxic, quickattack, rage, mimic, doubleteam, defensecurl, focusenergy, bide, swift, skullbash, rest, hyperfang, superfang, substitute, thief, snore, curse, protect, sludgebomb, mudslap, icywind, endure, swagger, attract, sleeptalk, return, frustration, pursuit, irontail, hiddenpower, raindance, sunnyday, crunch, shadowball, rocksmash, facade, taunt, endeavor, secretpower, shockwave, naturalgift, pluck, uturn, assurance, suckerpunch, captivate, grassknot, chargebeam, round, retaliate, workup, wildcharge, confide, laserfocus","101, 101, 1, 101, 101, 101, 1, 10, 101, 101, 101, 101, 101, 101, 101, 101, 101, 7, 101, 101, 101, 101, 23, 101, 101, 101, 101, 14, 34, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 27, 101, 101, 101, 101, 22, 101, 101, 101, 101, 41, 101, 101, 101, 101, 101, 25, 19, 101, 101, 101, 101, 101, 101, 101, 101, 13"
20,raticate,"swordsdance, cut, headbutt, tackle, bodyslam, takedown, doubleedge, tailwhip, bite, roar, watergun, icebeam, blizzard, bubblebeam, hyperbeam, counter, strength, thunderbolt, thunderwave, thunder, dig, toxic, quickattack, rage, mimic, doubleteam, defensecurl, focusenergy, bide, swift, skullbash, furyswipes, rest, hyperfang, superfang, substitute, thief, snore, curse, protect, scaryface, sludgebomb, mudslap, icywind, endure, swagger, attract, sleeptalk, return, frustration, pursuit, irontail, hiddenpower, raindance, sunnyday, crunch, shadowball, rocksmash, facade, taunt, endeavor, secretpower, shockwave, naturalgift, pluck, uturn, assurance, suckerpunch, gigaimpact, captivate, grassknot, chargebeam, round, retaliate, workup, wildcharge, confide, laserfocus","1, 101, 101, 1, 101, 101, 101, 1, 10, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 27, 101, 101, 101, 1, 101, 14, 41, 101, 101, 101, 101, 101, 20, 101, 101, 101, 101, 101, 101, 101, 101, 101, 30, 101, 101, 101, 101, 24, 101, 101, 101, 101, 50, 101, 101, 101, 101, 101, 29, 19, 101, 101, 101, 101, 101, 101, 101, 101, 101, 13"
21,spearow,"razorwind, wingattack, whirlwind, fly, headbutt, furyattack, takedown, doubleedge, leer, growl, peck, drillpeck, toxic, agility, rage, mimic, doubleteam, focusenergy, bide, mirrormove, swift, skyattack, rest, triattack, substitute, thief, snore, curse, protect, mudslap, detect, endure, falseswipe, swagger, steelwing, attract, sleeptalk, return, frustration, pursuit, hiddenpower, raindance, sunnyday, facade, secretpower, aerialace, roost, naturalgift, pluck, uturn, assurance, defog, captivate, round, echoedvoice, workup, drillrun, confide","101, 18, 101, 101, 101, 15, 101, 101, 9, 1, 1, 29, 101, 36, 101, 101, 101, 29, 101, 22, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 25, 101, 101, 101, 101, 101, 25, 33, 101, 101, 101, 29, 101, 101, 101, 101, 101, 101, 101"
22,fearow,"razorwind, wingattack, whirlwind, fly, headbutt, furyattack, takedown, doubleedge, leer, growl, hyperbeam, peck, drillpeck, toxic, agility, quickattack, rage, mimic, doubleteam, focusenergy, bide, mirrormove, swift, skyattack, rest, triattack, substitute, thief, snore, curse, protect, mudslap, detect, endure, falseswipe, swagger, steelwing, attract, sleeptalk, return, frustration, pursuit, hiddenpower, raindance, sunnyday, facade, secretpower, aerialace, roost, naturalgift, pluck, uturn, assurance, gigaimpact, defog, captivate, round, echoedvoice, workup, drillrun, confide","101, 18, 101, 101, 101, 15, 101, 101, 1, 1, 101, 1, 34, 101, 43, 1, 101, 101, 101, 32, 101, 25, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 26, 101, 101, 101, 101, 101, 101, 41, 101, 1, 101, 35, 101, 101, 101, 101, 101, 101, 53, 101"
23,ekans,"slam, headbutt, bodyslam, wrap, takedown, doubleedge, poisonsting, leer, bite, acid, strength, megadrain, earthquake, fissure, dig, toxic, rage, mimic, screech, doubleteam, haze, bide, skullbash, glare, leechlife, rest, rockslide, substitute, thief, snore, curse, spite, protect, scaryface, sludgebomb, mudslap, gigadrain, endure, swagger, attract, sleeptalk, return, frustration, irontail, hiddenpower, raindance, sunnyday, crunch, stockpile, spitup, swallow, torment, facade, knockoff, snatch, secretpower, rocktomb, mudshot, poisontail, naturalgift, payback, gastroacid, toxicspikes, poisonjab, darkpulse, seedbomb, firefang, mudbomb, gunkshot, captivate, venoshock, sludgewave, coil, acidspray, round, bulldoze, snarl, belch, confide, infestation, brutalswing, psychicfangs, scaleshot, skittersmack, lashout, terablast, trailblaze","28, 101, 101, 1, 101, 101, 10, 1, 17, 38, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 43, 101, 101, 24, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 37, 37, 37, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 33, 101, 101, 101, 101, 101, 28, 41, 101, 101, 101, 44, 28, 101, 101, 101, 38, 101, 101, 101, 101, 101, 101, 101, 101, 101"
24,arbok,"slam, headbutt, bodyslam, wrap, takedown, doubleedge, poisonsting, leer, bite, acid, hyperbeam, strength, megadrain, earthquake, fissure, dig, toxic, rage, mimic, screech, doubleteam, haze, bide, skullbash, glare, leechlife, rest, rockslide, substitute, thief, snore, curse, spite, protect, scaryface, sludgebomb, mudslap, gigadrain, endure, swagger, attract, sleeptalk, return, frustration, painsplit, irontail, hiddenpower, raindance, sunnyday, crunch, stockpile, spitup, swallow, torment, facade, knockoff, snatch, secretpower, rocktomb, mudshot, poisontail, naturalgift, payback, gastroacid, suckerpunch, toxicspikes, poisonjab, darkpulse, seedbomb, gigaimpact, thunderfang, icefang, firefang, mudbomb, gunkshot, captivate, venoshock, sludgewave, coil, acidspray, round, bulldoze, dragontail, snarl, belch, confide, infestation, throatchop, brutalswing, psychicfangs, stompingtantrum, breakingswipe, scaleshot, skittersmack, lashout, terablast, trailblaze","36, 101, 101, 1, 101, 101, 1, 1, 17, 47, 101, 101, 101, 101, 101, 101, 101, 101, 101, 36, 101, 51, 101, 101, 27, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 22, 46, 46, 46, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 42, 1, 101, 101, 101, 101, 101, 1, 1, 1, 34, 56, 101, 101, 101, 56, 32, 101, 101, 101, 101, 48, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
25,pikachu,"megapunch, payday, thunderpunch, slam, doublekick, megakick, headbutt, bodyslam, takedown, doubleedge, tailwhip, growl, surf, submission, seismictoss, strength, thundershock, thunderbolt, thunderwave, thunder, dig, toxic, agility, quickattack, rage, mimic, doubleteam, defensecurl, lightscreen, reflect, bide, swift, skullbash, flash, rest, substitute, thief, snore, curse, reversal, protect, sweetkiss, mudslap, zapcannon, detect, endure, charm, rollout, swagger, spark, attract, sleeptalk, return, frustration, dynamicpunch, encore, irontail, hiddenpower, raindance, rocksmash, uproar, facade, focuspunch, charge, helpinghand, brickbreak, knockoff, endeavor, secretpower, faketears, calmmind, shockwave, naturalgift, feint, fling, nastyplot, discharge, captivate, grassknot, chargebeam, electroball, round, echoedvoice, voltswitch, electroweb, wildcharge, disarmingvoice, drainingkiss, playrough, playnice, confide, eerieimpulse, electricterrain, nuzzle, terablast, trailblaze, alluringvoice, upperhand","101, 101, 101, 20, 9, 101, 101, 101, 101, 101, 6, 1, 101, 101, 101, 101, 1, 101, 9, 43, 101, 101, 33, 16, 101, 101, 101, 101, 50, 101, 101, 26, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 1, 101, 101, 26, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 29, 101, 1, 37, 101, 101, 101, 18, 101, 101, 101, 101, 101, 101, 101, 101, 7, 101, 101, 101, 23, 101, 101, 101, 101"
